Harlem Shake,DJ Bauer,Trap/HipHop,140,0,Yes,Y,
5 6 7 8,Steps,Pop,140,0,Yes,Y,
Apache,Sugerhill Gang ,HipHop,115,10,Yes,Y,
Cha Cha Slide,Mr. C The Slide Man,EDM,124,30,Yes,Y,
Crank That,Soulja Boy,HipHop/Pop Rap,70,16,Yes,Y,
Gangnam Style,PSY,Kpop,132,54,Yes,Y,
In Zaire,Johnny Wakelin,Rock,102,0,Yes,Y,
Single Ladies,Beyonce,Pop,130,0,Yes,yes,
The Ketchup Song,Las Ketchup,Spaans/Pop,185,26,Yes,yes,
Thriller,Michael Jackson,Pop,117,32,Yes,yes,
Watch me (Nae Nae),Silento,HipHop,140,15,Kinda,yes,
Bubble Butt,Major Lazer,EDM,194,74,Kinda,Y,
Cheap Thrills,Sia,Pop,90,20,Kinda,Y,
Drank & Drugs,Lil Kleine & Ronnie Flex,Techhouse/Poprap,120,8,Kinda,Y,
Hot Nigga,Bobby Shmurda,Trap,84,10,Kinda,Y,
Hotline Bling,Drake,HipHop,,20,Yes,Y,
Jump Around,House of pain,HipHop,105,0,Kinda,yes,
Kung Fu Fighting,Carl Douglas,Funk/Soul,102,0,Kinda,yes,
Mr Roboto,Styx,EDM/Rock,195,40,Kinda,yes,
Mundian To Bach Ke,Panjabi MC,Indian,98,24,Kinda,yes,
Party Rock Anthem,LMFAO,EDM/House,130,44,Kinda,yes,
Shake it off,Taylor Swift,Pop,160,29,Kinda,yes,
Uptown Funk ,Mark Ronson ft Bruno mars,pop,,14,kinda,yes,
One Love,Bob Marley,Reggae,77,0,kinda,Y,
Bangarang,Skrillex,Dubstep/Dance,110,14,No,Y,
Earthquake,DJ Fresh vs Diplo,Trap,164,0,no,Y,
Freestyler,Bomfunk MC,,,53,no,Y,
Higher Ground,TNGHT,Trap,161,24,no,Y
I Fink u Freeky,die antwoord,,130,10,no,Y,
Louder,DJ Fresh ft Sian Evans,DnB,140,21,no,yes,
Push it ,salt n pepper,,,112,no,yes,
Talk Dirty,Jason Derulo,Pop,133,30,no,yes,
Temperature,Sean Paul,Reggaeton,128,0,no,yes,
Turn Down For What,DJ Snake Lil Jon,Trap,130,0,no,yes,
Work ,Rihanna ,,,14,kinda,yes,
Niggas in Paris,Jay-Z ft. Kayne West,HipHop,140,0,no,yes,
Dance of the sugar plum fairy, Tchaikovsky, 127, 9, yes, yes,
